TimeInterval, Log Type, Number of Logs, Number of matched logs
11:35 - 11:40,WARN,129,66
11:35 - 11:40,DEBUG,1402,679
11:35 - 11:40,ERROR,2544,1234
11:35 - 11:40,INFO,129,66
11:40 - 11:45,WARN,179,83
11:40 - 11:45,DEBUG,1811,891
11:40 - 11:45,ERROR,3383,1662
11:40 - 11:45,INFO,179,83
11:45 - 11:50,WARN,175,104
11:45 - 11:50,DEBUG,1743,855
11:45 - 11:50,ERROR,3349,1618
11:45 - 11:50,INFO,175,104
11:50 - 11:55,WARN,178,88
11:50 - 11:55,DEBUG,1757,888
11:50 - 11:55,ERROR,3326,1617
11:50 - 11:55,INFO,178,88
11:55 - 12:0,WARN,156,98
11:55 - 12:0,DEBUG,1695,827
11:55 - 12:0,ERROR,3298,1701
11:55 - 12:0,INFO,156,98
12:0 - 12:5,WARN,186,88
12:0 - 12:5,DEBUG,1711,847
12:0 - 12:5,ERROR,3246,1631
12:0 - 12:5,INFO,186,88
12:20 - 12:25,WARN,88,46
12:20 - 12:25,DEBUG,733,340
12:20 - 12:25,ERROR,1468,744
12:20 - 12:25,INFO,88,46
12:25 - 12:30,WARN,185,87
12:25 - 12:30,DEBUG,1897,942
12:25 - 12:30,ERROR,3749,1947
12:25 - 12:30,INFO,185,87
12:30 - 12:35,WARN,169,82
12:30 - 12:35,DEBUG,1788,896
12:30 - 12:35,ERROR,3240,1615
12:30 - 12:35,INFO,169,82
12:35 - 12:40,WARN,103,43
12:35 - 12:40,DEBUG,1132,585
12:35 - 12:40,ERROR,2294,1178
12:35 - 12:40,INFO,103,43
12:40 - 12:45,WARN,109,55
12:40 - 12:45,DEBUG,1223,615
12:40 - 12:45,ERROR,2356,1179
12:40 - 12:45,INFO,109,55
12:45 - 12:50,WARN,204,92
12:45 - 12:50,DEBUG,1904,965
12:45 - 12:50,ERROR,3516,1814
12:45 - 12:50,INFO,204,92
12:5 - 12:10,WARN,102,48
12:5 - 12:10,DEBUG,1001,485
12:5 - 12:10,ERROR,1866,961
12:5 - 12:10,INFO,102,48
12:50 - 12:55,WARN,203,111
12:50 - 12:55,DEBUG,1896,967
12:50 - 12:55,ERROR,3649,1837
12:50 - 12:55,INFO,203,111
12:55 - 13:0,WARN,189,97
12:55 - 13:0,DEBUG,1860,895
12:55 - 13:0,ERROR,3674,1815
12:55 - 13:0,INFO,189,97
13:0 - 13:5,WARN,189,92
13:0 - 13:5,DEBUG,1951,978
13:0 - 13:5,ERROR,3673,1829
13:0 - 13:5,INFO,189,92
13:10 - 13:15,WARN,128,68
13:10 - 13:15,DEBUG,1335,670
13:10 - 13:15,ERROR,2576,1304
13:10 - 13:15,INFO,128,68
13:5 - 13:10,WARN,203,112
13:5 - 13:10,DEBUG,1833,909
13:5 - 13:10,ERROR,3741,1890
13:5 - 13:10,INFO,203,112
